,dataCode,ordinal,ordering,reassignments,default_value,default_related_field,ValueType,tree,num_fields,number_values
1,1,0,,,NA,NA,Categorical single,FALSE,2,1
2,2,0,,,NA,NA,Categorical single,TRUE,5,26408
3,3,-1,,,NA,NA,Categorical multiple,TRUE,5,89
4,4,-1,,,NA,NA,Categorical multiple,FALSE,2,6745
5,5,-1,,,NA,NA,Categorical multiple,TRUE,5,270
6,6,-1,,,NA,NA,Categorical multiple,TRUE,5,474
7,7,0,,9=NA,NA,NA,Categorical single,FALSE,2,2
8,8,0,,,NA,NA,Categorical single,FALSE,2,12
9,9,0,,,NA,NA,Categorical single,FALSE,2,2
10,10,0,,,NA,NA,Categorical single,FALSE,2,27
11,12,0,,,NA,NA,Categorical single,FALSE,2,2
12,14,0,,,NA,NA,Categorical single,FALSE,2,4
13,15,0,,,NA,NA,Categorical single,FALSE,2,5
14,16,0,,,NA,NA,Categorical single,FALSE,2,5
15,18,0,1|2|0,,NA,NA,Categorical single,FALSE,2,3
20,19,0,,,NA,NA,Categorical multiple,TRUE,5,19154
24,21,0,,,NA,NA,Categorical single,FALSE,2,3
25,22,0,,,NA,NA,Categorical single,FALSE,2,3
26,23,0,,,NA,NA,Categorical single,FALSE,2,3
27,24,0,,,NA,NA,Categorical single,FALSE,2,2
28,27,0,0|2|1,,NA,NA,Categorical single,FALSE,2,3
29,29,0,,,NA,NA,Categorical single,FALSE,2,3
30,30,0,,,NA,NA,Categorical single,FALSE,2,3
31,31,0,,,NA,NA,Categorical single,FALSE,2,3
32,32,0,,,NA,NA,Categorical single,FALSE,2,2
33,33,0,,,NA,NA,Categorical single,FALSE,2,3
34,34,0,,,NA,NA,Categorical single,FALSE,2,2
35,35,0,,,NA,NA,Categorical single,FALSE,2,5
36,36,0,,,NA,NA,Categorical single,FALSE,2,3
37,38,0,,,NA,NA,Categorical single,TRUE,5,682
38,39,0,,,NA,NA,Categorical single,TRUE,5,8
39,47,0,,,NA,NA,Categorical single,TRUE,5,41
40,49,0,,,NA,NA,Categorical single,TRUE,5,15
41,50,0,,,NA,NA,Categorical single,TRUE,5,14
42,51,0,,,NA,NA,Categorical single,TRUE,5,11
43,54,0,,,NA,NA,Categorical single,TRUE,5,14
44,55,0,,,NA,NA,Categorical single,FALSE,2,2
45,56,0,,,NA,NA,Categorical single,TRUE,5,14
46,59,0,,,NA,NA,Categorical single,TRUE,5,17
47,60,0,,,NA,NA,Categorical single,TRUE,5,11
48,71,0,,,NA,NA,Categorical single,TRUE,5,11
49,73,0,,,NA,NA,Categorical single,FALSE,2,7
50,74,-1,,,NA,NA,Categorical multiple,FALSE,2,21
51,75,-1,,,NA,NA,Categorical multiple,FALSE,2,4
52,76,-1,,,NA,NA,Categorical multiple,FALSE,2,6
53,77,-1,,,NA,NA,Categorical multiple,FALSE,2,37
54,78,-1,,,NA,NA,Categorical multiple,FALSE,2,19
55,79,-1,,,NA,NA,Categorical multiple,FALSE,2,5
56,80,-1,,,NA,NA,Categorical multiple,FALSE,2,44
57,81,-1,,,NA,NA,Categorical multiple,FALSE,2,5
58,82,-1,,,NA,NA,Categorical multiple,FALSE,2,3
59,83,-1,,,NA,NA,Categorical multiple,FALSE,2,3
60,84,-1,,,NA,NA,Categorical multiple,FALSE,2,2
61,85,-1,,,NA,NA,Categorical multiple,FALSE,2,2
62,86,-1,,,NA,NA,Categorical multiple,FALSE,2,6
67,87,0,,,NA,NA,Categorical multiple,TRUE,5,13710
71,89,0,,,NA,NA,Categorical single,TRUE,5,201
72,90,0,,-3=0|1=0|2=1,NA,NA,Categorical single,FALSE,2,4
73,91,0,,,NA,NA,Categorical single,FALSE,2,17
74,92,0,,,NA,NA,Categorical single,FALSE,2,25
75,93,0,,,NA,NA,Categorical single,FALSE,2,3
76,96,NA,NA,NA,NA,NA,Categorical single,FALSE,2,11
77,100,0,,,NA,NA,Categorical single,FALSE,2,2
78,101,0,,,NA,NA,Categorical single,FALSE,2,3
79,123,0,,,NA,NA,Categorical single,FALSE,2,1115
80,165,0,,,NA,NA,Categorical single,FALSE,2,3
81,196,0,,,NA,NA,Categorical single,FALSE,2,2
82,197,0,,,NA,NA,Categorical single,FALSE,2,2
83,198,0,,,NA,NA,Categorical single,FALSE,2,1
84,199,0,,,NA,NA,Categorical single,FALSE,2,1
85,200,0,,,NA,NA,Categorical single,FALSE,2,1
86,201,-1,,,NA,NA,Categorical multiple,FALSE,2,14
87,212,-1,,8=NA|9=-1,NA,NA,Categorical multiple,FALSE,2,9
88,213,NA,NA,NA,NA,NA,Categorical single,FALSE,2,10
89,215,NA,NA,NA,NA,NA,Categorical single,FALSE,2,8
90,216,-1,,X=-1,NA,NA,Categorical multiple,FALSE,2,11
91,217,-1,,9=-1,NA,NA,Categorical multiple,FALSE,2,10
92,219,-1,,9=-1,NA,NA,Categorical multiple,FALSE,2,5
93,220,-1,,8=NA|9=-1,NA,NA,Categorical multiple,FALSE,2,7
94,221,NA,NA,NA,NA,NA,Categorical single,FALSE,2,8
95,222,NA,NA,NA,NA,NA,Categorical single,FALSE,2,1
96,223,-1,,9=-1,NA,NA,Categorical multiple,FALSE,2,8
97,224,-1,,9=-1|0=NA,NA,NA,Categorical multiple,FALSE,2,5
98,225,-1,,9=-1,NA,NA,Categorical multiple,FALSE,2,5
99,227,-1,,99=-1,NA,NA,Categorical multiple,FALSE,2,3
