FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATA_CODING	Phase_I_PheWAS	Importance	Path	Category	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link
3						.		UK Biobank Assessment Centre > Procedural metrics > Process durations	152	Verbal interview duration	501656	566685	Complete	Integer	seconds	Data	Auxiliary	Unisex	4	1		Time taken for interview	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3
4						.		UK Biobank Assessment Centre > Procedural metrics > Process durations	152	Biometrics duration	497973	566546	Complete	Integer	seconds	Data	Auxiliary	Unisex	4	1		Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4
5						.		UK Biobank Assessment Centre > Procedural metrics > Process durations	152	Sample collection duration	501327	571519	Complete	Integer	seconds	Data	Auxiliary	Unisex	4	1		Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5
6						.		UK Biobank Assessment Centre > Procedural metrics > Process durations	152	Conclusion duration	499027	569096	Complete	Integer	seconds	Data	Auxiliary	Unisex	4	1		This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6
19					100260	.		UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	100018	Heel ultrasound method	324778	324778	Complete	Categorical single		Data	Primary	Unisex	1	1	100260	Method used for the Ultrasound Bone Densitometry of heel	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=19
21					100261	.		UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Weight method	500841	570293	Complete	Categorical single		Data	Primary	Unisex	4	1	100261	"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21
23					100270	.		UK Biobank Assessment Centre > Physical measures > Spirometry	100020	Spirometry method	460150	519975	Complete	Categorical single		Data	Primary	Unisex	4	1	100270	Spirometry method	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23
31		YES-SEX			9	.		Population characteristics > Baseline characteristics	100094	Sex	502506	502506	Complete	Categorical single		Data	Primary	Unisex	1	1	9	"Sex of participant.  Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=31
34		YES-AGE				.		Population characteristics > Baseline characteristics	100094	Year of birth	502506	502506	Complete	Integer	years	Data	Primary	Unisex	1	1		"Year of birth of participant. Acquired from central registry, updated by participant."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=34
35					7	.		UK Biobank Assessment Centre > Biological sampling > Blood sample collection	100002	Was blood sampling attempted	501327	571519	Complete	Categorical single		Data	Primary	Unisex	4	1	7	Indicates whether or not taking blood samples was attempted	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=35
46						.		UK Biobank Assessment Centre > Physical measures > Hand grip strength	100019	Hand grip strength (left)	499266	568255	Complete	Integer	Kg	Data	Primary	Unisex	4	1		Left grip strength	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=46
47						.		UK Biobank Assessment Centre > Physical measures > Hand grip strength	100019	Hand grip strength (right)	499341	568338	Complete	Integer	Kg	Data	Primary	Unisex	4	1		Right grip strength	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=47
48						Yes - Continuous	Tier2	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Waist circumference	500408	569829	Complete	Continuous	cm	Data	Primary	Unisex	4	1		Waist circumference	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48
49						Yes - Continuous	Tier2	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Hip circumference	500346	569767	Complete	Continuous	cm	Data	Primary	Unisex	4	1		Hip circumference	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49
50						Yes - Continuous	Tier2	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Standing height	500043	569401	Complete	Continuous	cm	Data	Primary	Unisex	4	1		Standing height was measured using a Seca 202 device	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50
51						Yes - Continuous	Tier2	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Seated height	497178	565500	Complete	Continuous	cm	Data	Primary	Unisex	4	1		"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=51
52		YES-AGE			8	.		Population characteristics > Baseline characteristics	100094	Month of birth	502506	502506	Complete	Categorical single		Data	Primary	Unisex	1	1	8	"Calendar month of birth of participant. Acquired from central registry, updated by participant."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=52
54		YES-ASSESSMENT-CENTRE			10	.		UK Biobank Assessment Centre > Recruitment > Reception	100024	UK Biobank assessment centre	502506	573520	Complete	Categorical single		Data	Primary	Unisex	4	1	10	The UK Biobank assessment centre at which participant consented. Automatically acquired at participant consent	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=54
55					8	.		UK Biobank Assessment Centre > Recruitment > Reception	100024	Month of attending assessment centre	502506	573525	Complete	Categorical single		Data	Primary	Unisex	4	1	8	Calendar month that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=55
62					100641	.		UK Biobank Assessment Centre > Procedural metrics	100004	Willing to attempt cognitive tests	498377	529807	Complete	Categorical single		Data	Primary	Unisex	3	1	100641	"ACE touchscreen question """"Now we would like to check your memory and reaction times by getting you to play some short games"""""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=62
68						.		UK Biobank Assessment Centre > Biological sampling > Blood sample collection	100002	Number of blood samples taken	501327	571519	Complete	Integer		Data	Primary	Unisex	4	1		"Blood, count of sample barcodes recorded Each barcode corresponds to a sample collected in the assessment centre. However the actual volume collected was not always the full amount preferred."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=68
74						.		UK Biobank Assessment Centre > Biological sampling > Blood sample collection	100002	Fasting time	501311	571495	Complete	Integer	hours	Data	Primary	Unisex	4	1		Fasting time is the interval between consumption of food or drink and blood sample(s) being taken. This was recorded so that it could be allowed for when analysing the blood composition at a later date.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=74
77						Yes - Continuous		UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	100018	"Heel bone ultrasound T-score, manual entry"	42731	42731	Complete	Continuous	Std.Devs	Data	Primary	Unisex	1	1		This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=77
78						Yes - Continuous		UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	100018	"Heel bone mineral density (BMD) T-score, automated"	279094	279094	Complete	Continuous	Std.Devs	Data	Primary	Unisex	1	1		This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=78
84					37	.		UK Biobank Assessment Centre > Verbal interview > Medical conditions	100074	Cancer year/age first occurred	45525	53149	Complete	Integer		Data	Primary	Unisex	4	6	37	"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=84
87		YES-POLYMORPHIC			37	.		UK Biobank Assessment Centre > Verbal interview > Medical conditions	100074	Non-cancer illness year/age first occurred	385697	1121528	Complete	Integer		Data	Primary	Unisex	4	34	37	"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=87
92		YES-POLYMORPHIC			37	.		UK Biobank Assessment Centre > Verbal interview > Operations	100076	Operation year/age first occurred	398516	991168	Complete	Integer		Data	Primary	Unisex	4	32	37	"For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=92
93						.		UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	"Systolic blood pressure, manual reading"	48794	80973	Complete	Integer	mmHg	Data	Primary	Unisex	4	2		"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=93
94						.		UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	"Diastolic blood pressure, manual reading"	48794	80973	Complete	Integer	mmHg	Data	Primary	Unisex	4	2		"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=94
95						.		UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	Pulse rate (during blood-pressure measurement)	48794	80973	Complete	Integer		Data	Primary	Unisex	4	2		Pulse measured during automated blood-pressure reading	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=95
96						.		UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	Time since interview start at which blood pressure screen(s) shown	501656	1132684	Complete	Integer	seconds	Data	Auxiliary	Unisex	4	2		"The time since interview start at which the blood pressure screen was shown is useful because it can be used to calculate the interval between the two measurements of blood pressure. This interval is variable because it, for efficiency reasons, it was impractical to use a fixed time during the UK Biobank Assessments."	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=96
102						.		UK Biobank Assessment Centre > Physical measures > Blood pressure	100011	"Pulse rate, automated reading"	475129	1050361	Complete	Integer	bpm	Data	Primary	Unisex	4	2		This is the pulse rate measured during the automated blood pressure readings.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102
111					7	.		UK Biobank Assessment Centre > Procedural metrics	100004	Aide-memoire completed	501648	521979	Complete	Categorical single		Data	Primary	Unisex	2	1	7	Participants were asked to complete an aide-memoire at home (prior to the visiting and assessment centre) to help them complete the more complex/detailed interview questions. This field records whether or not the participant brought a completed aide-memoire to the interview.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=111
120					100258	.		UK Biobank Assessment Centre > Verbal interview > Early life factors	100072	Birth weight known	501648	533687	Complete	Categorical single		Data	Primary	Unisex	3	1	100258	Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=120
129						.		UK Biobank Assessment Centre > Verbal interview > Early life factors	100072	Place of birth in UK - north co-ordinate	452292	481102	Complete	Integer	metre-grid	Data	Primary	Unisex	3	1	170	Place born - north co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=129
130						.		UK Biobank Assessment Centre > Verbal interview > Early life factors	100072	Place of birth in UK - east co-ordinate	452292	481102	Complete	Integer	metre-grid	Data	Primary	Unisex	3	1	170	Place born - east co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=130
