Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
UK Biobank Assessment Centre > Procedural metrics > Process durations,152,3,Verbal interview duration,501656,566685,Complete,Integer,seconds,Data,Auxiliary,Unisex,4,1,,Time taken for interview,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3
UK Biobank Assessment Centre > Procedural metrics > Process durations,152,4,Biometrics duration,497973,566546,Complete,Integer,seconds,Data,Auxiliary,Unisex,4,1,,Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4
UK Biobank Assessment Centre > Procedural metrics > Process durations,152,5,Sample collection duration,501327,571519,Complete,Integer,seconds,Data,Auxiliary,Unisex,4,1,,Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5
UK Biobank Assessment Centre > Procedural metrics > Process durations,152,6,Conclusion duration,499027,569096,Complete,Integer,seconds,Data,Auxiliary,Unisex,4,1,,This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,19,Heel ultrasound method,324778,324778,Complete,Categorical single,"",Data,Primary,Unisex,1,1,100260,Method used for the Ultrasound Bone Densitometry of heel,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=19
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,21,Weight method,500841,570293,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100261,"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21
UK Biobank Assessment Centre > Physical measures > Spirometry,100020,23,Spirometry method,460150,519975,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100270,Spirometry method,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23
Population characteristics > Baseline characteristics,100094,31,Sex,502506,502506,Complete,Categorical single,"",Data,Primary,Unisex,1,1,9,"Sex of participant.  Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=31
Population characteristics > Baseline characteristics,100094,33,Date of birth,502506,502506,Complete,Date,"",Data,Primary,Unisex,1,1,,"Date of birth of participant. Acquired from central registry, updated by participant.   This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=33
Population characteristics > Baseline characteristics,100094,34,Year of birth,502506,502506,Complete,Integer,years,Data,Primary,Unisex,1,1,,"Year of birth of participant. Acquired from central registry, updated by participant.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=34
UK Biobank Assessment Centre > Biological sampling > Blood sample collection,100002,35,Was blood sampling attempted,501327,571519,Complete,Categorical single,"",Data,Primary,Unisex,4,1,7,Indicates whether or not taking blood samples was attempted,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=35
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,36,Blood pressure device ID,498751,562916,Complete,Text,"",Data,Auxiliary,Unisex,4,1,,Blood pressure (Omron) gadget ID,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=36
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,37,Blood pressure manual sphygmomanometer device ID,498751,562916,Complete,Text,"",Data,Auxiliary,Unisex,4,1,,Blood pressure manual sphygmomanometer gadget ID,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=37
UK Biobank Assessment Centre > Physical measures > Hand grip strength,100019,38,Hand grip dynamometer device ID,497974,566547,Complete,Text,"",Data,Auxiliary,Unisex,4,1,,Hand grip dynamometer device id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=38
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,39,Height measure device ID,497974,566547,Complete,Text,"",Data,Auxiliary,Unisex,4,1,,Height measure gadget id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=39
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,40,Manual scales device ID,497974,566547,Complete,Text,"",Data,Auxiliary,Unisex,4,1,,Manual scales gadget id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,41,Seating box device ID,497974,566547,Complete,Text,"",Data,Auxiliary,Unisex,4,1,,Sitting box gadget id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41
UK Biobank Assessment Centre > Physical measures > Spirometry,100020,42,Spirometer device ID,497974,566547,Complete,Text,"",Data,Auxiliary,Unisex,4,1,,Spirometer gadget ID,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=42
UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,100009,43,Impedance device ID,497974,566547,Complete,Text,"",Data,Auxiliary,Unisex,4,1,,Impedance (Tanita) gadget id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=43
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,44,Tape measure device ID,497974,566547,Complete,Text,"",Data,Auxiliary,Unisex,4,1,,Tape measure gadget id,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=44
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,45,Heel ultrasound device id,497974,566547,Complete,Text,"",Data,Auxiliary,Unisex,4,1,,Ultrasound heel (Sahara) gadget ID,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=45
UK Biobank Assessment Centre > Physical measures > Hand grip strength,100019,46,Hand grip strength (left),499266,568255,Complete,Integer,Kg,Data,Primary,Unisex,4,1,,Left grip strength,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=46
UK Biobank Assessment Centre > Physical measures > Hand grip strength,100019,47,Hand grip strength (right),499341,568338,Complete,Integer,Kg,Data,Primary,Unisex,4,1,,Right grip strength,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=47
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,48,Waist circumference,500408,569829,Complete,Continuous,cm,Data,Primary,Unisex,4,1,,Waist circumference,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48
