FieldID	Field	action
6448	"Word associated with """"huge"""""	added
6459	"Word associated with """"happy"""""	added
6470	"Word associated with """"tattered"""""	added
6481	"Word associated with """"old"""""	added
6492	"Word associated with """"long"""""	added
6503	"Word associated with """"red"""""	added
6514	"Word associated with """"sulking"""""	added
6525	"Word associated with """"pretty"""""	added
6536	"Word associated with """"tiny"""""	added
6547	"Word associated with """"new"""""	added
20197	Number of word pairs correctly associated	added
20277	Job code at visit	added
20600	Liking for adding salt to foods	added
20601	Liking for aniseed	added
20602	Liking for apple juice	added
20603	Liking for apples	added
20604	Liking for asparagus	added
20605	Liking for aubergine	added
20606	Liking for avocados	added
20607	Liking for bacon	added
20608	Liking for baked/steamed fish	added
20609	Liking for bananas	added
20610	Liking for barbequed or grilled meat	added
20611	Liking for beef steak	added
20612	Liking for beetroot	added
20613	Liking for bell pepper	added
20614	Liking for bicycling	added
20615	Liking for biscuits	added
20616	Liking for bitter foods	added
20617	Liking for bitter/ale	added
20618	Liking for black olives	added
20619	Liking for black pepper	added
20620	Liking for blue cheese	added
20621	Liking for bolognese sauce	added
20622	Liking for broad beans	added
20623	Liking for broccoli	added
20624	Liking for brown rice	added
20625	Liking for brussel sprouts	added
20626	Liking for burgers (meat)	added
20627	Liking for burn of spicy foods	added
20628	Liking for butter on bread	added
20629	Liking for butternut squash	added
20630	Liking for cabbage	added
20631	Liking for cake	added
20632	Liking for cake icing	added
20633	Liking for capers	added
20634	Liking for cauliflower	added
20635	Liking for cereal/granola bar	added
20636	Liking for cheesecake	added
20637	Liking for cherries	added
20638	Liking for chicken	added
20639	Liking for chilli pepper	added
20640	Liking for chips/french fries	added
20641	Liking for cigarette smoking	added
20642	Liking for cod	added
20643	Liking for coffee with sugar	added
20644	Liking for coffee without sugar	added
20645	Liking for coriander	added
20646	Liking for corn flakes	added
20647	Liking for cream	added
20648	Liking for croissant	added
20649	Liking for cucumber	added
20650	Liking for curry	added
20651	Liking for dairy products	added
20652	Liking for dark chocolate	added
20653	Liking for diet fizzy drinks	added
20654	Liking for dried fruit	added
20655	Liking for eggs	added
20656	Liking for exercising alone	added
20657	Liking for exercising with others	added
20658	Liking for extra virgin olive oil	added
20659	Liking for fatty foods	added
20660	Liking for fresh tomatoes	added
20661	Liking for fried chicken	added
20662	Liking for fried/battered fish	added
20663	Liking for fruit	added
20664	Liking for garlic	added
20665	Liking for gherkins	added
20666	Liking for globe artichoke	added
20667	Liking for goat's cheese	added
20668	Liking for going to a cafe	added
20669	Liking for going to the gym	added
20670	Liking for going to the pub	added
20671	Liking for grapefruit	added
20672	Liking for green olives	added
20673	Liking for haddock	added
20674	Liking for ham	added
20675	Liking for hard cheese	added
20676	Liking for herring	added
20677	Liking for honey	added
20678	Liking for horseradish/wasabi	added
20679	Liking for ice cream	added
20680	Liking for jam	added
20681	Liking for kiwi fruit	added
20682	Liking for lager	added
20683	Liking for lamb	added
20684	Liking for lemons	added
20685	Liking for lentils/beans	added
20686	Liking for liver	added
20687	Liking for mackerel	added
20688	Liking for marzipan	added
20689	Liking for mayonnaise	added
20690	Liking for melon	added
20691	Liking for milk chocolate	added
20692	Liking for mushrooms	added
20693	Liking for onions	added
20694	Liking for orange juice	added
20695	Liking for oranges	added
20696	Liking for pasta	added
20697	Liking for pears	added
20698	Liking for pizza	added
20699	Liking for plain yogurt	added
20700	Liking for plums	added
20701	Liking for pollock	added
20702	Liking for pork chop	added
20703	Liking for porridge	added
20704	Liking for potato crisps	added
20705	Liking for potatoes	added
20706	Liking for prawns	added
20707	Liking for raw carrots	added
20708	Liking for red meat	added
20709	Liking for red wine	added
20710	Liking for regular (non-diet) fizzy drinks	added
20711	Liking for roast chicken	added
20712	Liking for salad dressing	added
20713	Liking for salad leaves	added
20714	Liking for salami	added
20715	Liking for salmon	added
20716	Liking for salty foods	added
20717	Liking for salty pretzels	added
20718	Liking for sardines	added
20719	Liking for sausages (meat)	added
20720	Liking for savoury biscuits	added
20721	Liking for shellfish (other than prawns)	added
20722	Liking for skimmed milk	added
20723	Liking for smoked fish	added
20724	Liking for soft cheese	added
20725	Liking for soy sauce	added
20726	Liking for soya milk	added
20727	Liking for spicy foods	added
20728	Liking for spinach	added
20729	Liking for spirits	added
20730	Liking for strawberries	added
20731	Liking for sweet coffee house drinks	added
20732	Liking for sweet foods	added
20733	Liking for taking the stairs	added
20734	Liking for tea with sugar	added
20735	Liking for tea without sugar	added
20736	Liking for tomato ketchup	added
20737	Liking for tinned tuna	added
20738	Liking for turnip (white)	added
20739	Liking for vegetables	added
20740	Liking for vinegar	added
20741	Liking for watching television	added
20742	Liking for whisky	added
20743	Liking for white bread	added
20744	Liking for white rice	added
20745	Liking for white wine	added
20746	Liking for whole grain breakfast cereal	added
20747	Liking for whole milk	added
20748	Liking for wholemeal bread	added
20749	Liking for working up a sweat	added
20751	Duration of questionnaire	added
21611	Reception duration	added
21621	Consent duration	added
21622	Touchscreen duration	added
21625	Touchscreen cognitive duration	added
21631	Verbal interview duration	added
21634	Biometrics duration	added
21642	Sample collection duration	added
21651	Conclusion duration	added
21661	Imaging screening duration	added
21662	Brain MRI duration	added
21663	Chest MRI duration	added
21664	DXA assessment duration	added
21665	Carotid ultrasound duration	added
21666	ECG at rest duration	added
21671	Cardiac monitor duration	added
22415	Total adipose tissue volume	added
22416	Total lean tissue volume	added
22417	Liver iron corrected T1 (ct1)	added
22432	Total abdominal adipose tissue index	added
22433	Weight-to-muscle ratio	added
22434	Abdominal fat ratio	added
22435	Muscle fat infiltration	added
22436	Liver proton density fat fraction (AMRA)	added
23045	Very nervous mood over last week	added
23046	Down in dumps over last week	added
23047	Felt calm over last week	added
23072	Downhearted and depressed over last week	added
23076	Happy over last week	added
23077	Device used for typing	added
23078	Device used for pointing	added
25921	Increased search space in eddy current estimation used for dMRI	added
25922	Standard deviation of apparent translation in the Y axis as measured by eddy	added
25923	Echo Time for rfMRI	added
25924	Echo Time for tfMRI	added
25925	Intensity scaling for T1	added
25926	Intensity scaling for T2_FLAIR	added
25927	Intensity scaling for SWI	added
25928	Intensity scaling for dMRI	added
25929	Intensity scaling for rfMRI	added
25930	Intensity scaling for tfMRI	added
26500	T2-FLAIR used (in addition to T1) to run FreeSurfer	added
26501	Mean intensity of 3rd-Ventricle (whole brain)	added
26502	Mean intensity of 4th-Ventricle (whole brain)	added
26503	Mean intensity of 5th-Ventricle (whole brain)	added
26504	Mean intensity of Brain-Stem (whole brain)	added
26505	Mean intensity of CSF (whole brain)	added
26506	Mean intensity of WM-hypointensities (whole brain)	added
26507	Mean intensity of non-WM-hypointensities (whole brain)	added
26508	Mean intensity of Optic-Chiasm (whole brain)	added
26509	Mean intensity of CC-Posterior (whole brain)	added
26510	Mean intensity of CC-Mid-Posterior (whole brain)	added
26511	Mean intensity of CC-Central (whole brain)	added
26512	Mean intensity of CC-Mid-Anterior (whole brain)	added
26513	Mean intensity of CC-Anterior (whole brain)	added
26514	Volume of BrainSeg (whole brain)	added
26515	Volume of BrainSegNotVent (whole brain)	added
26516	Volume of BrainSegNotVentSurf (whole brain)	added
26517	Volume of SubCortGray (whole brain)	added
26518	Volume of TotalGray (whole brain)	added
26519	Volume of SupraTentorial (whole brain)	added
26520	Volume of SupraTentorialNotVent (whole brain)	added
26521	Volume of EstimatedTotalIntraCranial (whole brain)	added
26522	Volume of VentricleChoroid (whole brain)	added
26523	Volume of 3rd-Ventricle (whole brain)	added
26524	Volume of 4th-Ventricle (whole brain)	added
26525	Volume of 5th-Ventricle (whole brain)	added
26526	Volume of Brain-Stem (whole brain)	added
26527	Volume of CSF (whole brain)	added
26528	Volume of WM-hypointensities (whole brain)	added
26529	Volume of non-WM-hypointensities (whole brain)	added
26530	Volume of Optic-Chiasm (whole brain)	added
26531	Volume of CC-Posterior (whole brain)	added
26532	Volume of CC-Mid-Posterior (whole brain)	added
26533	Volume of CC-Central (whole brain)	added
26534	Volume of CC-Mid-Anterior (whole brain)	added
26535	Volume of CC-Anterior (whole brain)	added
26536	Volume-ratio of BrainSegVol-to-eTIV (whole brain)	added
26537	Volume-ratio of MaskVol-to-eTIV (whole brain)	added
26538	Mean intensity of Lateral-Ventricle (left hemisphere)	added
26539	Mean intensity of Inf-Lat-Vent (left hemisphere)	added
26540	Mean intensity of Cerebellum-White-Matter (left hemisphere)	added
26541	Mean intensity of Cerebellum-Cortex (left hemisphere)	added
26542	Mean intensity of Thalamus-Proper (left hemisphere)	added
26543	Mean intensity of Caudate (left hemisphere)	added
26544	Mean intensity of Putamen (left hemisphere)	added
26545	Mean intensity of Pallidum (left hemisphere)	added
26546	Mean intensity of Hippocampus (left hemisphere)	added
26547	Mean intensity of Amygdala (left hemisphere)	added
26548	Mean intensity of Accumbens-area (left hemisphere)	added
26549	Mean intensity of VentralDC (left hemisphere)	added
26550	Mean intensity of vessel (left hemisphere)	added
26551	Mean intensity of choroid-plexus (left hemisphere)	added
26552	Volume of Cortex (left hemisphere)	added
26553	Volume of CerebralWhiteMatter (left hemisphere)	added
26554	Volume of Lateral-Ventricle (left hemisphere)	added
26555	Volume of Inf-Lat-Vent (left hemisphere)	added
26556	Volume of Cerebellum-White-Matter (left hemisphere)	added
26557	Volume of Cerebellum-Cortex (left hemisphere)	added
26558	Volume of Thalamus-Proper (left hemisphere)	added
26559	Volume of Caudate (left hemisphere)	added
26560	Volume of Putamen (left hemisphere)	added
26561	Volume of Pallidum (left hemisphere)	added
26562	Volume of Hippocampus (left hemisphere)	added
26563	Volume of Amygdala (left hemisphere)	added
26564	Volume of Accumbens-area (left hemisphere)	added
26565	Volume of VentralDC (left hemisphere)	added
26566	Volume of vessel (left hemisphere)	added
26567	Volume of choroid-plexus (left hemisphere)	added
26568	Number of HolesBeforeFixing (left hemisphere)	added
26569	Mean intensity of Lateral-Ventricle (right hemisphere)	added
26570	Mean intensity of Inf-Lat-Vent (right hemisphere)	added
26571	Mean intensity of Cerebellum-White-Matter (right hemisphere)	added
26572	Mean intensity of Cerebellum-Cortex (right hemisphere)	added
26573	Mean intensity of Thalamus-Proper (right hemisphere)	added
26574	Mean intensity of Caudate (right hemisphere)	added
26575	Mean intensity of Putamen (right hemisphere)	added
26576	Mean intensity of Pallidum (right hemisphere)	added
26577	Mean intensity of Hippocampus (right hemisphere)	added
26578	Mean intensity of Amygdala (right hemisphere)	added
26579	Mean intensity of Accumbens-area (right hemisphere)	added
26580	Mean intensity of VentralDC (right hemisphere)	added
26581	Mean intensity of vessel (right hemisphere)	added
26582	Mean intensity of choroid-plexus (right hemisphere)	added
26583	Volume of Cortex (right hemisphere)	added
26584	Volume of CerebralWhiteMatter (right hemisphere)	added
26585	Volume of Lateral-Ventricle (right hemisphere)	added
26586	Volume of Inf-Lat-Vent (right hemisphere)	added
26587	Volume of Cerebellum-White-Matter (right hemisphere)	added
26588	Volume of Cerebellum-Cortex (right hemisphere)	added
26589	Volume of Thalamus-Proper (right hemisphere)	added
26590	Volume of Caudate (right hemisphere)	added
26591	Volume of Putamen (right hemisphere)	added
26592	Volume of Pallidum (right hemisphere)	added
26593	Volume of Hippocampus (right hemisphere)	added
26594	Volume of Amygdala (right hemisphere)	added
26595	Volume of Accumbens-area (right hemisphere)	added
26596	Volume of VentralDC (right hemisphere)	added
26597	Volume of vessel (right hemisphere)	added
26598	Volume of choroid-plexus (right hemisphere)	added
26599	Number of HolesBeforeFixing (right hemisphere)	added
26600	Volume of Lateral-nucleus (left hemisphere)	added
26601	Volume of Basal-nucleus (left hemisphere)	added
26602	Volume of Accessory-Basal-nucleus (left hemisphere)	added
26603	Volume of Anterior-amygdaloid-area-AAA (left hemisphere)	added
26604	Volume of Central-nucleus (left hemisphere)	added
26605	Volume of Medial-nucleus (left hemisphere)	added
26606	Volume of Cortical-nucleus (left hemisphere)	added
26607	Volume of Corticoamygdaloid-transitio (left hemisphere)	added
26608	Volume of Paralaminar-nucleus (left hemisphere)	added
26609	Volume of Whole-amygdala (left hemisphere)	added
26610	Volume of Lateral-nucleus (right hemisphere)	added
26611	Volume of Basal-nucleus (right hemisphere)	added
26612	Volume of Accessory-Basal-nucleus (right hemisphere)	added
26613	Volume of Anterior-amygdaloid-area-AAA (right hemisphere)	added
26614	Volume of Central-nucleus (right hemisphere)	added
26615	Volume of Medial-nucleus (right hemisphere)	added
26616	Volume of Cortical-nucleus (right hemisphere)	added
26617	Volume of Corticoamygdaloid-transitio (right hemisphere)	added
26618	Volume of Paralaminar-nucleus (right hemisphere)	added
26619	Volume of Whole-amygdala (right hemisphere)	added
26620	Volume of Hippocampal-tail (left hemisphere)	added
26621	Volume of subiculum-body (left hemisphere)	added
26622	Volume of CA1-body (left hemisphere)	added
26623	Volume of subiculum-head (left hemisphere)	added
26624	Volume of hippocampal-fissure (left hemisphere)	added
26625	Volume of presubiculum-head (left hemisphere)	added
26626	Volume of CA1-head (left hemisphere)	added
26627	Volume of presubiculum-body (left hemisphere)	added
26628	Volume of parasubiculum (left hemisphere)	added
26629	Volume of molecular-layer-HP-head (left hemisphere)	added
26630	Volume of molecular-layer-HP-body (left hemisphere)	added
26631	Volume of GC-ML-DG-head (left hemisphere)	added
26632	Volume of CA3-body (left hemisphere)	added
26633	Volume of GC-ML-DG-body (left hemisphere)	added
26634	Volume of CA4-head (left hemisphere)	added
